datetime,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
2021-03-31,332592.0,240534.0,108145.0,144.583,1354603.0,4813.0,18808.0,32.293,47930.0,20936.0,8550.0,2.587
2021-04-01,311794.0,257955.0,69301.0,154.82,1368006.0,4259.0,8591.0,40.348,52020.0,56223.0,12368.0,6.507
2021-04-02,305648.0,268420.0,30540.0,143.921,1358619.0,6279.0,10781.0,58.392,50138.0,28949.0,4493.0,4.836
2021-04-03,281586.0,280926.0,75450.0,126.514,1293333.0,6922.0,34171.0,56.079,52470.0,22878.0,11397.0,4.298
2021-04-04,245861.0,271675.0,87528.0,122.156,1197875.0,3651.0,28198.0,44.114,44403.0,27928.0,11675.0,3.996
2021-04-05,288890.0,352131.0,44761.0,130.459,1296946.0,5712.0,13478.0,43.118,42741.0,33767.0,4563.0,2.959
2021-04-06,309421.0,399032.0,32289.0,129.655,1335799.0,4550.0,8368.0,43.468,38413.0,38153.0,6708.0,5.104
2021-04-07,321162.0,301682.0,86985.0,129.445,1312638.0,4669.0,32378.0,38.177,33759.0,58624.0,18420.0,5.243
2021-04-08,278400.0,308327.0,104094.0,121.452,1284377.0,4303.0,33661.0,37.34,32366.0,52808.0,11297.0,3.8
2021-04-09,324568.0,285991.0,102638.0,112.812,1300882.0,4049.0,27584.0,32.402,31556.0,43527.0,12908.0,3.221
2021-04-10,298929.0,308410.0,110849.0,130.316,1315016.0,4088.0,28165.0,38.815,38884.0,45832.0,14061.0,3.875
2021-04-11,253304.0,323171.0,94714.0,124.765,1256904.0,3117.0,22446.0,38.827,53030.0,76815.0,55137.0,11.055
2021-04-12,291225.0,346001.0,132176.0,128.714,1347983.0,4118.0,27353.0,38.834,50983.0,53398.0,28289.0,7.175
2021-04-13,310071.0,382819.0,171108.0,178.476,1350467.0,5583.0,35202.0,50.671,60296.0,71607.0,96908.0,17.173
2021-04-14,297359.0,389263.0,161204.0,193.005,1386341.0,6584.0,44170.0,59.587,81830.0,128665.0,211844.0,51.517
2021-04-15,359268.0,323211.0,110223.0,164.392,1197340.0,5047.0,34130.0,60.945,56106.0,242000.0,137796.0,44.077
2021-04-16,219601.0,516536.0,113640.0,177.284,1426977.0,6317.0,37022.0,63.611,139656.0,415744.0,401940.0,180.107
2021-04-17,194489.0,359703.0,100583.0,147.984,1453000.0,4412.0,27593.0,50.563,73108.0,357367.0,142980.0,90.597
2021-04-18,274611.0,337989.0,178464.0,267.181,1396766.0,8673.0,44299.0,59.46,57433.0,486009.0,139742.0,61.307
2021-04-19,208316.0,346249.0,122950.0,207.574,1476842.0,4862.0,34261.0,51.594,70856.0,651666.0,199181.0,72.426
2021-04-20,279849.0,370719.0,112302.0,185.894,1555560.0,4096.0,24962.0,47.295,68798.0,572235.0,221699.0,84.032
2021-04-21,225920.0,473725.0,96848.0,153.903,1565355.0,5205.0,27470.0,46.303,44814.0,554518.0,99163.0,48.421
2021-04-22,274467.0,429103.0,108961.0,174.93,1577266.0,7927.0,24889.0,60.079,42650.0,652849.0,97876.0,40.866
2021-04-23,295596.0,368625.0,132963.0,276.62,1537100.0,6574.0,16503.0,57.254,39847.0,656193.0,94074.0,43.838
2021-04-24,290545.0,275845.0,86049.0,191.32,1389103.0,3568.0,21274.0,42.417,34410.0,374531.0,95518.0,29.486
2021-04-25,240900.0,337302.0,81258.0,172.196,1389350.0,3240.0,16370.0,39.016,30170.0,562024.0,66357.0,23.433
2021-04-26,240573.0,474291.0,110552.0,179.781,1448466.0,4996.0,15942.0,48.063,30352.0,746358.0,62131.0,22.691
2021-04-27,297967.0,419084.0,102971.0,166.215,1448293.0,5567.0,19937.0,53.709,30705.0,415053.0,72915.0,21.596
2021-04-28,276984.0,396534.0,97333.0,149.503,1517604.0,6173.0,29483.0,55.043,37843.0,733257.0,82606.0,32.657
2021-04-29,259343.0,439029.0,96503.0,132.646,1530717.0,5770.0,40573.0,58.72,30647.0,925847.0,58964.0,24.055
2021-04-30,289244.0,437538.0,92350.0,133.512,1441230.0,5935.0,31070.0,51.359,32689.0,620495.0,64237.0,21.418
2021-05-01,262852.0,353558.0,99595.0,136.871,1427568.0,4747.0,32934.0,65.721,39108.0,646524.0,87286.0,29.733
2021-05-02,235029.0,360724.0,78756.0,119.375,1417458.0,3704.0,22312.0,66.402,37451.0,494406.0,86451.0,29.073
2021-05-03,286830.0,435999.0,89710.0,133.043,1488629.0,8617.0,45092.0,120.167,41583.0,486484.0,147489.0,37.482
2021-05-04,300643.0,419513.0,87287.0,142.121,1536119.0,10574.0,32641.0,128.71,77916.0,795264.0,325311.0,96.276
2021-05-05,309617.0,329957.0,93866.0,138.075,1518877.0,8080.0,24782.0,115.198,86705.0,990309.0,309275.0,119.294
2021-05-06,311210.0,331015.0,84935.0,137.223,1532197.0,6794.0,36078.0,110.943,60629.0,735033.0,137859.0,80.213
2021-05-07,307816.0,358005.0,103515.0,126.983,1527890.0,8283.0,31694.0,91.318,58370.0,820378.0,176145.0,75.251
2021-05-08,274520.0,293405.0,82542.0,130.702,1710882.0,7309.0,29966.0,99.478,76445.0,425835.0,220601.0,112.142
2021-05-09,247680.0,254195.0,62002.0,136.554,1716600.0,5999.0,21281.0,114.759,82109.0,846620.0,298715.0,187.988
2021-05-10,303117.0,269256.0,74446.0,138.576,1716489.0,11774.0,33925.0,135.121,56397.0,674950.0,138385.0,96.442
2021-05-11,311943.0,215614.0,72974.0,131.857,1716051.0,10495.0,23569.0,106.082,47653.0,789900.0,133793.0,64.392
2021-05-12,300280.0,290172.0,104572.0,141.278,1624077.0,11999.0,31930.0,112.312,43359.0,757606.0,107387.0,52.175
2021-05-13,276311.0,451295.0,249599.0,338.27,1588560.0,13369.0,25354.0,133.621,44333.0,804979.0,155557.0,65.847
2021-05-14,265921.0,432360.0,120644.0,207.421,1531689.0,8654.0,23844.0,96.866,50430.0,839533.0,139021.0,70.03
2021-05-15,231976.0,404818.0,95522.0,169.969,1472496.0,6251.0,18511.0,78.82,36764.0,534330.0,92065.0,43.131
2021-05-16,219303.0,397725.0,148557.0,182.1,1425115.0,7339.0,19008.0,84.411,33904.0,1028307.0,115293.0,39.825
