,datetime,btc_google_adjusted,bitcoin_google_adjusted,eth_google_adjusted,ethereum_google_adjusted,doge_google_adjusted,dogecoin_google_adjusted,BTCUSD_close,BTCUSD_high,BTCUSD_low,BTCUSD_open,ETHUSD_close,ETHUSD_high,ETHUSD_low,ETHUSD_open,DOGEUSD_close,DOGEUSD_high,DOGEUSD_low,DOGEUSD_open,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
69,2021-03-11,37.99653342761628,33.70030010184569,34.55013519258771,25.826236962802497,4.37372376662902,2.391740438968659,57805.12301924,58087.23759599083,54498.78925516,55767.66298235,1826.19498661,1843.8188328,1734.61712528,1778.98527892,0.05591786,0.05666141,0.05450212,0.05597714795038,291113.0,325750.0,95858.0,157.426,1284767.0,4371.0,16141.0,38.678,32179.0,34381.0,24055.0,2.778
70,2021-03-12,37.65422231565577,33.43966359680435,36.4199072147748,24.24463020306498,3.986541662697926,2.3097191619121205,57332.08896391,57996.61948977,55376.65008849939,57880.49280073188,1772.10247833,1839.49727601,1729.4938499955108,1830.0072708031348,0.05534893,0.05697972,0.05451290800624,0.05603001518189,320594.0,248755.0,104787.0,154.201,1325679.0,5266.0,18020.0,35.198,28157.0,38131.0,21029.0,2.692
71,2021-03-13,47.46714085852364,42.692259525772045,43.08605094605056,31.35185045251838,4.875626493947104,2.709982993948028,61243.08476552,61683.86401412,56226.42143717,57300.35138699427,1924.68543997,1937.465661901505,1734.52844953,1769.0950257985885,0.06243198,0.06243198,0.05475620932737,0.05530758354788,276929.0,254221.0,154790.0,207.626,1293352.0,3420.0,17682.0,45.987,28950.0,52588.0,31438.0,3.41
72,2021-03-14,45.185066778786926,42.353432069218286,40.07815682340174,30.811301306785303,6.094533117433881,3.950144703042888,59302.31697742,61578.28844422,59302.31697742,61116.91189611759,1854.56437805,1929.7951382,1845.69523512,1920.3014780403632,0.0585919,0.06296085,0.0585919,0.06211900333719,307893.0,257249.0,102059.0,196.531,1277890.0,2565.0,14700.0,44.883,31081.0,41104.0,34955.0,4.527
73,2021-03-15,40.735022323300335,37.16676561889557,38.53356254420371,25.265667478338568,3.986541662697926,2.6476468233850587,55907.20022619,60540.99271158,55434.659382899285,59083.02204661848,1791.70230241,1889.19662834,1750.40190159,1850.4415268649605,0.05708768,0.05968146,0.05515188722408,0.05837005,292083.0,256907.0,116563.0,176.729,1321388.0,4956.0,14038.0,36.802,29274.0,34072.0,21040.0,3.282
74,2021-03-16,38.73820750353072,35.49501241244215,36.46636117805896,24.528295002485272,3.8621414867126576,2.4989026198241007,56804.90123161,56804.90123161,53571.18611603,55840.786514365485,1806.9717631,1816.68465938,1720.24738358,1792.4137614219028,0.0586074,0.05891177,0.05550992,0.05702371197443,319344.0,253280.0,99951.0,162.274,1308992.0,4217.0,15452.0,35.007,29281.0,31783.0,20633.0,3.319
75,2021-03-17,36.501774905388736,33.32406364103896,33.91139319743062,21.832569392595648,3.780403042549428,2.325496737903221,58870.89333325,58936.85556113004,54534.98050609207,57113.08789619074,1823.44937973,1839.686792875319,1749.1799726,1809.974952270605,0.05765313,0.0588661,0.05647326620254,0.05860954355772,295983.0,276690.0,106258.0,157.531,1272298.0,4004.0,12552.0,33.496,38325.0,33220.0,21433.0,3.208
76,2021-03-18,36.02253934864403,33.07078628437525,36.05988899932263,21.664086541977547,3.4602608029101067,1.986426308075788,57858.92070527,59986.84365948146,54253.58000473,59320.56750464618,1782.85512445,1848.4953364640623,1709.93227885,1833.715688064876,0.05738277,0.05878455539062,0.05428897234229,0.05768526,331566.0,230138.0,106755.0,155.945,1299760.0,3590.0,15854.0,33.263,36208.0,31460.0,20117.0,3.095
77,2021-03-19,32.028909709104774,30.23046164178941,31.879032303748996,21.439442741153407,3.3785223587468765,1.8826924322838328,58346.65297359,59498.37646021,56643.701485883954,57701.48849520469,1817.62409241,1841.19607365,1746.4733548936642,1777.5247785236506,0.05832836,0.05969916,0.05660703828675,0.057296,316032.0,226492.0,106380.0,139.823,1291231.0,3089.0,17158.0,32.138,35079.0,28770.0,19991.0,2.952
78,2021-03-20,30.750948224452213,27.571049396820506,32.285504482485315,22.01509248076525,3.54881078408694,1.8888854994952928,58313.64260857,59986.67277885,58213.29736374868,58279.29049253705,1812.63460132,1874.70899723,1812.2069052,1816.4842267937424,0.05896063,0.06049065952938,0.05812032088171,0.0582258891644,286794.0,237133.0,92396.0,128.959,1262309.0,2633.0,12673.0,32.791,35059.0,29928.0,26638.0,2.935
79,2021-03-21,32.686322588228926,28.00636985358625,32.9823139317476,21.15863799012324,3.1551039447007123,1.6510330119051582,57523.42098673,58754.95425807,56049.37686462,58283.385557746056,1788.21700883,1822.84452743,1764.693625062312,1810.986980692664,0.05723426,0.05952116903265,0.05679761,0.0588743249215,234780.0,271008.0,80437.0,131.404,1206009.0,2943.0,13575.0,31.013,35182.0,23242.0,20658.0,2.236
80,2021-03-22,34.578688632810604,31.1395464398145,32.9823139317476,21.88873034280168,3.144205485478948,1.571361782674397,54529.14561107,58387.94270337,54341.80529016,57517.89148832647,1691.33401831,1810.61949708,1676.13254643,1788.36217792661,0.0549616,0.0577252,0.0549616,0.05725867545353,297259.0,248804.0,103950.0,138.508,1307460.0,3718.0,20654.0,31.456,38260.0,28785.0,17151.0,2.202
81,2021-03-23,34.406655356030456,31.1395464398145,32.75004411532684,20.765511338681005,3.067916270926599,1.4573706393134618,54738.94493032,55985.44014057889,53476.52792794627,54322.16396981641,1678.65013849,1725.108806814807,1662.8453295594393,1683.7474883790703,0.05355558,0.056068687733,0.05301448,0.05456071,314073.0,316802.0,94277.0,141.034,1298959.0,3291.0,16517.0,31.291,42129.0,25836.0,12740.0,2.443
82,2021-03-24,37.15918778451289,33.71528670088558,35.59534936648112,20.835712526438545,3.242291618474825,1.5260104675738098,52774.26369049,57255.88815079,52598.59317756694,54625.4742127477,1593.4134567,1740.245317636414,1571.14123392,1676.4224199601897,0.05170175,0.05648813253085,0.05124163,0.05344684160337,304941.0,296800.0,130216.0,158.532,1309468.0,3243.0,15197.0,31.812,41204.0,21997.0,16726.0,2.361
83,2021-03-25,40.513836681725856,36.00269782825467,34.20173046795657,21.228839177880783,3.0297716636504246,1.4782077300353529,51704.1619252,53392.26215733288,50856.56868539912,52726.74556859561,1595.359192,1625.6444548,1560.37046253,1593.123260254935,0.05144848,0.05240657,0.04969786,0.05169855039419,318408.0,280559.0,137938.0,171.704,1349663.0,4989.0,18323.0,31.695,40502.0,19977.0,17854.0,2.322
84,2021-03-26,37.10542738551909,30.71666371038492,28.41082163582996,19.4851101629471,3.2361158249158253,1.283844951032837,55137.31372578,55137.31372578,51617.373593698816,51617.373593698816,1702.84201957,1702.8420195728506,1595.8505148616202,1595.8505148616202,0.05395158,0.05401595,0.05133484422494,0.05133484422494,293474.0,263813.0,137602.0,142.016,1265836.0,3715.0,15693.0,26.865,43298.0,17906.0,15719.0,2.332
85,2021-03-27,34.089469001967046,28.025591795833048,30.60682717289894,18.389286744292782,3.112599953735832,1.3880887718431951,55973.51084173,56547.63833282189,54258.08097880605,55432.6417661,1716.49461243,1731.84388255,1674.9164057359117,1712.70525845,0.05437709,0.0554292677623,0.05353012674723,0.05425786,288100.0,236188.0,106231.0,128.065,1230764.0,2656.0,12069.0,26.088,46549.0,12815.0,13110.0,2.56
